	African_American_Afro_Caribbean	American	Central_South_Asian	East_Asian	European	Latino	Near_Eastern	Oceanian	Sub_Saharan_African	Global
*1/*1	0.8561800900000001	0.86564416	0.94809169	0.9225602500000001	0.99341089	0.99620361	0.9314180099999999	0.9122160099999999	0.89794576	0.9248522744444444
*1/*10	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*11	0.025723339999999997	0.00521024	0.0019474	0.0005763	0.0031894400000000004	0.005788979999999999	1.9301999999999997e-06	1.9102e-06	0.04870664	0.010127353377777778
*1/*12	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0007684	1.9934e-06	1.9962e-06	0.0019302	1.9102e-06	1.8951999999999999e-06	0.0003013393111111111
*1/*13	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0063393	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	0.0007060759999999999
*1/*14	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0005763	1.9934e-06	1.9962e-06	0.0019302	1.9102e-06	1.8951999999999999e-06	0.00027999486666666664
*1/*15	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*16	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0036499	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	0.0004072537777777778
*1/*17	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*18	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*19	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0009605000000000001	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	0.00010843155555555557
*1/*2	0.04145344	0.06215072	0.22161412	0.0040341	0.25375982	0.15231006000000002	0.25053996	0.055968859999999995	0.02482712	0.11851757777777777
*1/*20	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*21	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	0.00019934000000000003	0.0005988599999999999	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	9.016837777777776e-05
*1/*22	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*23	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0003842	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	4.439822222222222e-05
*1/*24	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	1.921e-06	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	1.9227777777777776e-06
*1/*25	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0038420000000000004	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	0.00042859822222222226
*1/*26	1.8506e-06	1.8607999999999998e-06	1.9473999999999998e-06	0.0038420000000000004	1.9934e-06	1.9962e-06	1.9301999999999997e-06	1.9102e-06	1.8951999999999999e-06	0.00042859822222222226
